Source,Date,Author,Comment
FS2UrMAx494,12-05-2022,pakgira 19,พี่เอกไม่สมหวังอะไรเลย น้องสงสาร จะโหวดโดโด้ โดโด้ก็ถูกยิง พอเป็นเป็ด เป็ดน้องกายก็กดหิน พอเป็นโดโด้ จะรอคนมาเจอก็มีรีพอทที่อื่น ต้องเวท
FS2UrMAx494,12-05-2022,pakgira 19,พี่ลี่น่ารักมาก สปอยสุด  อ้าว
FS2UrMAx494,12-05-2022,Silver Save,เป็นไลฟ์ที่สู้ชีวิต แต่ชีวิตสู้กลับ5
FS2UrMAx494,12-05-2022,zell zen,3:35:22
FS2UrMAx494,12-05-2022,ZINNIZ,วันนี้พี่เอกได้โรลพิเศษ คือโรล ไ อ ต้ น เ ก ม 😂
FS2UrMAx494,12-05-2022,zell zen,2:52:41 มาดูกี่ทีก็ชอบช็อตนี้5
FS2UrMAx494,12-05-2022,fxng pt,2:49:00 ตาเหยก:เอ๊ายิงทัมมัยอ๊างอเเงสุดไรสุด5
FS2UrMAx494,12-05-2022,Ahly Thamonwan,ช็อตพี่ลี่ลากศพหลังฆ่าคือขำลั่นบ้าน จังหวะเเบบ5
FS2UrMAx494,12-05-2022,mumu,พี่เอกสู้ชีวิตสุดๆ
FS2UrMAx494,12-05-2022,nat pawee,ฉันที่อ่านคอมเม้นก่อนดู ทุกคนคือคอนเฟิร์มว่าพี่เอกเป็ดทุกตา 5
FS2UrMAx494,12-05-2022,ppnsrx /,พี่ลี่ท็อปฟอร์มอะ5ตร่กมาก
FS2UrMAx494,12-05-2022,Tor Nani,ถึงคุณเอกจะเกิดปีเดียวกับผม แต่ผมยังอายุ18อยู่ ปีที่แล้ว18ปีหน้าก็ยัง1810:14 มันคือรางบอกเหตุ
FS2UrMAx494,12-05-2022,2K4 Studio,2:27:26 เอาไว้สำหรับตัวเองรีเพลย์
FS2UrMAx494,12-05-2022,Benjarat K,เป็ดแบบสู้ชีวิต5
FS2UrMAx494,12-05-2022,Imyour aum,14:28 *จิ้มในค๊อห์* เลยหรอ17:29 มา *คลาสห์สิค*47:55 *ห์ห์คลิก*57:02 พี่เอกๆ1:05:16 *เกรงใจห์**1:12:03** เดี๋ยวๆ พี่อาร์มๆ*1:35:34 พี่เต้51:46:22 *ไม่เค๊ยห์*2:30:06 พี่เต้ๆ เสียงที่คุ้นเคย2:46:16 *เกิดจากห์*2:52:43 ฆ่าตัวตาย55 ทำไม2:58:05 *ชั๊ดห์*3:05:27 *อันนั้นห์*3:19:59 ไม่ได้เล่น!!3:28:40 *เต้ไม่ได้เป็นแคนนาเดียนห์ค้าห์บห์* 3:28:45 *โกห์หก* โว้ยยพี่เจม จะแกล้งคนอื่นแต่ตัวเองก็53:41:31 พี่เต้5 อย่าแกงพี่แทน
FS2UrMAx494,12-05-2022,MR.JACK Dominjun,แล้วได้เป็นก็โง่ไปยืนให้หินกลิ้งทับ
FS2UrMAx494,12-05-2022,MtaewPisces🐸,พี่เอกทุบโต๊ะทั้งคลิป แต่น้องขำไม่ไหว 5
FS2UrMAx494,12-05-2022,phuthit phuthit,Bad day pi heart 😅 su su pi 😘 next day is your goodday
FS2UrMAx494,12-05-2022,กิตติธร สําราญ,ผมว่า ID พี่บัคแล้วผู้พัฒนาน่าจะแกล้งพี่5ผมเล่นวันหนึ่ง6-7ตา ต้องได้เป็นเป็ดเเล้วสักตา2ตา บางวันนี่เป็นรัวจนเบื่อ  เเต่นี่พี่ไม่เป็นเลย5 ซวยเกินปุยมุ้ย
FS2UrMAx494,11-05-2022,ncy ninja,nan
FS2UrMAx494,11-05-2022,WIPHAT.,เริ่มมาดีใจดี๊ด๊ามาก สรุปโดนหินทับตาย ม่ายด้ายเล่นน
FS2UrMAx494,11-05-2022,Aday PR,ก็คือทั้งคนในตี้ ทั้งช่องแชท ทั้งช่องคอมเม้นท์ก็คือสปอยพี่เอกไม่ไหวแล้ว น่ารักกันมาก5
FS2UrMAx494,11-05-2022,PORPOOH,พี่เอก โอ๋ๆน้า สู้ชีวิตแต่ชีวิตสู้กลับที่แท้ทรู ขอให้สตรีมหน้าได้เป็นเป็ดเยอะๆนะ 🥺🥺💖💖
FS2UrMAx494,11-05-2022,Wongsakorn Chandapradith,29:25 เผื่อใครสงสัย นี่คือดนตรีจากเรื่อง กระบี่ไร้เทียมทาน
FS2UrMAx494,11-05-2022,MA PRANG,อีพีนี้พี่เอกน่าสงสารจัด5 พอได้เป็นก็โดนพวกเดียวกันฆ่า
FS2UrMAx494,11-05-2022,Linda T,แง 5 สนุกมากๆเลยค่ะะ โอ๋ ไม่เป็นไรน้า วันนี้ไม่ใช่วันของพี่ วันหน้าต้องเป็นวันของพิ่แน่ๆ!! 🤣 ขอบคุรมากๆค้าบ 💪🏻💪🏻💪🏻👍🏻👍🏻👍🏻👍🏻✌🏻✌🏻✌🏻🫶🏻🫶🏻🫶🏻🫶🏻✨
FS2UrMAx494,11-05-2022,_LISA,26:25 จักกะจี้หู51:12:01 ก็ทะลุไปเลยสิคะ52:30:05 อู็ด2:48:57 ดับฝัน5552:59:40 565566753:20:12 โครตเศร้าพี่เอก5
FS2UrMAx494,11-05-2022,Praery Meow,สตรีมแห่งความระทม
FS2UrMAx494,11-05-2022,ju jujam,1:38:09 พี่แพทปล่อยพลังง5
FS2UrMAx494,11-05-2022,Cheese Jae,นี่ว่าอาจจะเป็นเพราะพี่เอกไม่ทำเควสก็เลยไม่ได้เป็นสักที5
FS2UrMAx494,11-05-2022,Auscharapon moksak,สตรีมนี้มีคนงอน5
FS2UrMAx494,11-05-2022,paint679,เป็นคลิปที่น่าสงสารที่สุดล้า
FS2UrMAx494,11-05-2022,munich_siamensis,56:00 มา รอเชียร์ท่านว่าที่รมร.กระทรวงดิจิตอล เล่นเกมเป็ด 😂
FS2UrMAx494,11-05-2022,AleliRin Rin,สีพี่อามกะสีพี่ซีคคือสีเดียวกัน แล้วค่อนข้างประสบความสำเร็จในบทบาทผู้เล่นใหม่จัดๆ ทั้งเป็ด ทั้งชนะในบทโดโด 5 สีนำโชคมาก
